t_ms,ax_g,ax_lpf_g
7402,-0.001,-0.001
7409,0.003,0.003
7414,0.002,0.002
7421,0.002,0.002
7426,0.003,0.003
7432,0.001,0.001
7438,-0.001,-0.001
7445,0.000,-0.000
7450,0.001,0.001
7456,-0.001,-0.001
7462,0.000,-0.000
7469,-0.000,-0.000
7475,-0.000,-0.000
7487,0.001,0.001
7493,0.002,0.002
7498,0.003,0.003
7504,0.000,0.000
7510,0.003,0.003
7517,0.003,0.003
7522,0.002,0.003
7529,0.003,0.003
7534,0.002,0.002
7541,0.001,0.002
7546,0.002,0.002
7552,0.003,0.003
7558,0.002,0.002
7565,0.003,0.003
